,age,education,hours-per-week,workclass_Private,workclass_Public,workclass_Self-emp,marital-status_Married,marital-status_Single,race_Amer-Indian,race_Asian,race_Black,race_Hispanic,race_White,sex_Female,sex_Male,income_<=50K,income_>50K
0,39,13,40,0,1,0,0,1,0,0,0,0,1,0,1,1,0
1,50,13,13,0,0,1,1,0,0,0,0,0,1,0,1,1,0
2,38,9,40,1,0,0,0,1,0,0,0,0,1,0,1,1,0
3,53,7,40,1,0,0,1,0,0,0,1,0,0,0,1,1,0
4,28,13,40,1,0,0,1,0,0,0,1,0,0,1,0,1,0
5,37,14,40,1,0,0,1,0,0,0,0,0,1,1,0,1,0
6,49,5,16,1,0,0,1,0,0,0,1,0,0,1,0,1,0
7,52,9,45,0,0,1,1,0,0,0,0,0,1,0,1,0,1
8,31,14,50,1,0,0,0,1,0,0,0,0,1,1,0,0,1
9,42,13,40,1,0,0,1,0,0,0,0,0,1,0,1,0,1
10,37,10,80,1,0,0,1,0,0,0,1,0,0,0,1,0,1
11,30,13,40,0,1,0,1,0,0,1,0,0,0,0,1,0,1
12,23,13,30,1,0,0,0,1,0,0,0,0,1,1,0,1,0
13,32,12,50,1,0,0,0,1,0,0,1,0,0,0,1,1,0
14,40,11,40,1,0,0,1,0,0,1,0,0,0,0,1,0,1
15,34,4,45,1,0,0,1,0,1,0,0,0,0,0,1,1,0
16,25,9,35,0,0,1,0,1,0,0,0,0,1,0,1,1,0
17,32,9,40,1,0,0,0,1,0,0,0,0,1,0,1,1,0
18,38,7,50,1,0,0,1,0,0,0,0,0,1,0,1,1,0
19,38,14,45,0,0,1,0,1,0,0,0,0,1,1,0,0,1
20,40,16,60,1,0,0,1,0,0,0,0,0,1,0,1,0,1
21,54,9,20,1,0,0,0,1,0,0,1,0,0,1,0,1,0
22,35,5,40,0,1,0,1,0,0,0,1,0,0,0,1,1,0
23,43,7,40,1,0,0,1,0,0,0,0,0,1,0,1,1,0
24,59,9,40,1,0,0,0,1,0,0,0,0,1,1,0,1,0
25,56,13,40,0,1,0,1,0,0,0,0,0,1,0,1,0,1
26,19,9,40,1,0,0,0,1,0,0,0,0,1,0,1,1,0
27,39,9,80,1,0,0,0,1,0,0,0,0,1,0,1,1,0
28,49,9,40,1,0,0,1,0,0,0,0,0,1,0,1,1,0
29,23,12,52,0,1,0,0,1,0,0,0,0,1,0,1,1,0
30,20,10,44,1,0,0,0,1,0,0,1,0,0,0,1,1,0
31,45,13,40,1,0,0,0,1,0,0,0,0,1,0,1,1,0
32,30,10,40,0,1,0,1,0,0,0,0,0,1,0,1,1,0
33,22,10,15,0,1,0,1,0,0,0,1,0,0,0,1,1,0
34,48,7,40,1,0,0,0,1,0,0,0,0,1,0,1,1,0
35,21,10,40,1,0,0,0,1,0,0,0,0,1,0,1,1,0
36,19,9,25,1,0,0,1,0,0,0,0,0,1,1,0,1,0
37,31,10,38,1,0,0,1,0,0,0,0,0,1,0,1,0,1
38,48,12,40,0,0,1,1,0,0,0,0,0,1,0,1,1,0
39,38,5,43,1,0,0,1,0,0,0,0,0,1,0,1,1,0
40,53,13,40,0,0,1,1,0,0,0,0,0,1,0,1,1,0
41,24,13,50,1,0,0,1,0,0,0,0,0,1,0,1,1,0
42,49,9,40,1,0,0,0,1,0,0,0,0,1,1,0,1,0
43,25,9,35,1,0,0,0,1,0,0,0,0,1,0,1,1,0
44,57,13,40,0,1,0,1,0,0,0,1,0,0,0,1,0,1
